1chr_position	sample3	sample1	sample4	sample2
chr20,38892631,38894243	0.711	0.977	0.891	0.831
chr20,54037468,54037752	NA	1.000	0.629	0.844
chr20,2239934,2241194	0.724	0.976	0.944	0.937
chr20,48029334,48030499	0.556	0.863	0.755	0.486
chr20,20328185,20328567	0.412	0.870	0.900	1.000
chr20,34243423,34244719	1.000	0.957	0.580	0.636
chr20,52379219,52380087	0.846	0.988	0.917	0.647
chr20,55923281,55924218	NA	0.800	0.545	0.092
chr20,13196934,13197589	NA	0.154	NA	1.000
chr20,59105491,59106952	0.917	0.774	0.939	0.633
chr20,60856235,60856345	NA	1.000	0.621	1.000
chr20,39479741,39479904	NA	0.600	NA	0.000
chr20,720089,720775	0.673	0.955	0.839	0.818
chr20,21920046,21924822	0.815	0.817	0.934	0.641
chr20,22212363,22213332	0.536	0.815	0.579	0.343
chr20,33880091,33880154	NA	1.000	0.812	0.448
chr20,48077091,48077666	0.265	0.667	0.579	0.963
chr20,60534293,60534718	0.233	0.700	0.656	NA
chr20,58689622,58691622	0.603	0.813	0.752	0.474
chr20,10767801,10769688	1.000	0.875	0.771	0.932
chr20,51081608,51084331	0.825	0.867	0.910	0.596
chr20,58827635,58827882	0.857	NA	NA	0.250
chr20,61035225,61036900	0.816	0.678	0.865	0.160
chr20,20332600,20333361	0.593	0.552	0.952	1.000
chr20,11152567,11153561	1.000	0.737	1.000	1.000
chr20,50059997,50060348	NA	0.960	0.939	0.200
chr20,42874005,42878495	0.567	0.272	0.455	0.373
chr20,49326730,49327198	0.171	0.972	0.577	0.571
chr20,24979973,24980249	1.000	0.455	NA	1.000
chr20,55986832,55988802	0.850	0.937	0.651	0.934
chr20,33643393,33645650	0.867	0.805	0.204	0.625
chr20,54154318,54155564	0.154	0.812	0.833	NA
chr20,23277179,23278967	0.839	0.905	0.798	0.987
chr20,48111514,48112096	NA	0.941	0.917	0.250
chr20,12589336,12589892	NA	0.474	0.902	NA
chr20,16596468,16597472	0.533	0.857	0.932	NA
chr20,62945841,62949638	0.128	0.394	0.231	0.917
chr20,20475856,20478193	0.964	0.777	0.893	1.000
chr20,35368770,35369526	1.000	0.966	0.900	0.672
chr20,62104807,62107060	0.409	0.363	0.342	0.862
chr20,55906113,55906369	0.434	0.062	0.244	0.895
chr20,47294802,47296286	0.704	0.846	0.658	0.617
chr20,51183751,51193055	0.881	0.760	0.807	0.553
chr20,20349697,20352976	0.254	0.103	0.040	0.029
chr20,46769146,46769883	0.583	0.306	0.812	0.667
chr20,62291030,62291052	0.944	NA	NA	0.507
chr20,31216152,31217220	0.891	0.903	0.774	0.579
chr20,56137026,56138229	0.974	0.889	0.751	0.841
chr20,57290262,57290761	1.000	0.667	0.914	0.811
chr20,52766347,52766624	0.583	NA	NA	1.000
chr20,53253361,53254528	0.690	0.531	0.873	0.467
chr20,43517509,43517876	0.400	0.071	0.000	0.000
chr20,35762062,35762764	1.000	0.739	0.727	0.941
chr20,45195912,45197259	0.556	0.947	0.745	0.200
chr20,22988576,22988940	NA	0.969	0.724	0.333
chr20,19206657,19207685	1.000	0.868	0.839	0.618
chr20,279006,279447	NA	0.500	0.000	0.000
chr20,36269363,36271354	0.238	0.600	0.592	0.280
chr20,630994,631788	0.855	0.827	0.904	0.182
chr20,20566912,20567957	0.538	1.000	0.929	0.974
chr20,31669702,31670671	1.000	0.846	0.933	0.722
chr20,50238722,50239207	NA	0.684	0.820	1.000
chr20,306203,306678	0.020	0.011	0.000	0.430
chr20,50427719,50429003	0.807	0.905	0.928	0.732
chr20,55530827,55531797	0.362	0.667	0.682	0.118
chr20,2881776,2882343	NA	0.021	0.481	NA
chr20,1206712,1206984	0.000	0.118	0.000	0.000
chr20,60735801,60736243	NA	1.000	0.720	1.000
chr20,52529103,52529464	0.810	0.933	0.902	1.000
chr20,54854859,54857450	0.947	0.160	0.929	0.406
chr20,44957778,44958417	0.960	0.955	0.500	0.600
chr20,7813676,7814051	NA	NA	0.412	1.000
chr20,6454794,6455570	0.250	0.921	0.811	0.938
chr20,62290535,62290969	0.562	0.714	0.591	0.364
chr20,7461194,7464375	0.685	0.759	0.474	0.640
chr20,34330276,34332411	0.130	0.017	0.334	0.256
chr20,48363798,48364469	NA	0.875	0.868	0.438
chr20,43069790,43072361	0.845	0.842	0.767	0.511
chr20,62621451,62622297	1.000	0.983	0.889	0.630
chr20,50187472,50188484	0.892	0.848	0.978	0.783
chr20,37383077,37383387	1.000	0.867	0.674	NA
chr20,53043367,53045553	0.630	0.767	0.810	0.968
chr20,25270510,25270753	0.667	0.925	1.000	0.667
chr20,41071295,41071538	0.700	NA	0.741	0.994
chr20,62318604,62319021	0.091	0.394	0.286	0.000
chr20,42218021,42218679	0.981	0.962	0.875	0.840
chr20,53809794,53810896	0.531	0.980	0.868	0.700
chr20,38951981,38953409	0.871	0.929	0.786	0.993
chr20,62824743,62825150	0.438	NA	0.636	0.965
chr20,41596510,41596581	0.727	NA	0.991	NA
chr20,47123983,47124835	1.000	1.000	1.000	0.692
chr20,18035782,18037235	0.323	0.147	0.282	0.250
chr20,35303912,35304161	1.000	NA	0.529	1.000
chr20,2374830,2375130	0.875	0.885	0.562	0.919
chr20,59049421,59049933	0.391	0.621	0.917	0.615
chr20,17316033,17317087	NA	NA	0.158	0.988
chr20,21308046,21312741	0.940	0.968	0.922	0.824
chr20,18257482,18258172	0.229	0.125	0.133	0.380
chr20,55036214,55037594	NA	0.889	0.733	1.000
chr20,46683513,46687335	0.925	0.750	0.896	0.672
chr20,8102234,8103163	0.750	0.818	1.000	0.000
chr20,57912708,57913243	NA	0.986	0.950	0.800
chr20,55519326,55520540	0.860	0.559	0.642	0.229
chr20,46301187,46301839	0.840	0.952	0.912	0.500
chr20,31927460,31927614	NA	0.273	NA	1.000
chr20,40604154,40604922	NA	0.227	0.840	0.409
chr20,10153663,10155927	0.953	0.691	0.850	0.227
chr20,35235276,35236731	0.778	0.367	0.238	0.882
chr20,802016,804060	0.698	0.851	0.943	0.975
chr20,8481648,8484052	0.926	0.778	0.906	0.605
chr20,50045618,50047595	0.926	0.903	0.848	0.745
chr20,55320051,55320296	0.818	1.000	0.875	0.636
chr20,24650939,24653624	0.729	0.920	0.818	0.964
chr20,21494869,21495279	0.212	0.259	0.024	0.000
chr20,22922280,22925750	0.854	0.742	0.597	0.415
chr20,57670901,57672011	0.981	0.936	0.843	1.000
chr20,46267717,46268393	0.588	0.971	0.816	0.714
chr20,55610873,55611898	0.485	0.765	0.943	NA
chr20,25002059,25003796	0.960	0.900	0.937	0.667
chr20,32579568,32580078	0.579	0.875	0.465	0.810
chr20,51077196,51080184	0.857	0.810	0.848	0.624
chr20,36987583,36987999	0.903	0.232	0.979	NA
chr20,14001295,14003750	0.969	0.824	0.824	0.685
chr20,19256052,19256404	NA	NA	0.577	1.000
chr20,58253146,58253581	0.607	0.478	0.708	0.200
chr20,29823985,29824444	0.569	0.756	0.561	0.656
chr20,51931645,51934902	0.725	0.933	0.756	0.827
chr20,42671387,42672220	0.611	1.000	0.968	0.833
chr20,44836012,44836420	0.812	0.824	0.994	0.600
chr20,5841828,5843098	0.983	0.940	1.000	0.711
chr20,17318862,17321870	0.632	0.877	0.628	0.471
chr20,36561212,36562663	0.935	0.628	0.567	0.216
chr20,30830811,30831906	NA	0.929	0.810	0.300
chr20,43596966,43597072	NA	NA	0.684	0.217
chr20,55978714,55978873	NA	NA	1.000	0.708
chr20,31792290,31793003	0.880	0.932	0.875	0.667
chr20,48287961,48289319	0.786	0.533	0.170	0.429
chr20,17884804,17885576	1.000	0.947	0.750	0.423
chr20,53563642,53564349	0.833	0.643	1.000	1.000
chr20,39140091,39140642	1.000	0.929	0.556	0.364
chr20,24316056,24318194	0.918	0.771	0.936	0.508
chr20,47855346,47855999	0.833	1.000	0.755	1.000
chr20,15454455,15455049	0.857	0.842	0.857	0.469
chr20,50826853,50826995	NA	1.000	0.778	1.000
chr20,3279456,3279715	1.000	1.000	0.208	0.652
chr20,59635206,59637294	0.528	0.776	0.832	0.900
chr20,53521982,53522395	0.211	NA	NA	1.000
chr20,4140618,4141660	0.214	0.265	0.585	0.167
chr20,40013840,40014767	0.579	0.462	0.840	0.176
chr20,4980749,4981013	0.467	0.800	0.200	0.200
chr20,5337837,5338922	0.538	0.692	0.692	0.207
chr20,24560926,24561457	NA	NA	0.188	0.933
chr20,49679657,49680658	0.676	0.429	0.438	1.000
chr20,37861290,37861655	1.000	0.944	0.259	NA
chr20,50655257,50656007	0.878	0.981	0.833	0.565
chr20,42372210,42373004	0.986	1.000	0.919	0.864
chr20,45689780,45690821	1.000	0.676	0.974	0.774
chr20,22486098,22486546	NA	0.999	0.909	0.630
chr20,37950080,37950608	0.941	0.471	NA	NA
chr20,37711096,37712677	0.750	0.922	0.684	0.606
chr20,8770535,8770913	0.667	0.878	0.994	0.875
chr20,31410847,31411891	0.679	0.714	0.826	0.312
chr20,39250478,39255519	1.000	0.824	0.759	0.000
chr20,30735948,30736255	0.810	NA	NA	0.231
chr20,10202364,10202521	1.000	0.824	0.740	0.900
chr20,62098093,62098380	0.509	0.943	0.981	NA
chr20,61876293,61876786	1.000	0.733	0.871	0.542
chr20,25616318,25616752	0.908	0.968	0.885	0.429
chr20,50663704,50664611	0.459	0.444	0.780	0.016
chr20,127734,128307	1.000	0.516	1.000	NA
chr20,32810242,32813483	0.391	0.828	0.306	0.000
chr20,55224318,55224558	1.000	0.137	0.944	0.818
chr20,19832278,19832723	NA	0.558	0.762	0.941
chr20,62834444,62834852	NA	0.895	0.872	0.567
chr20,15094137,15095897	NA	NA	0.269	1.000
chr20,8124751,8126123	0.308	0.333	0.304	0.615
chr20,21779539,21783100	0.742	0.856	0.564	0.761
chr20,40118902,40118920	1.000	0.451	0.867	NA
chr20,39792982,39793761	0.765	0.667	0.957	NA
chr20,7086665,7087840	0.500	0.579	0.953	0.425
chr20,57884805,57885430	NA	0.312	0.750	NA
chr20,50317086,50317322	0.680	1.000	1.000	0.857
chr20,46410807,46411263	0.667	0.867	0.816	0.125
chr20,33560169,33560617	0.667	0.978	0.889	0.882
chr20,36068306,36068621	NA	0.714	0.980	NA
chr20,4758289,4759812	0.781	0.933	0.767	0.481
chr20,59107280,59108339	0.886	1.000	0.816	0.734
chr20,18174339,18177346	0.856	0.919	0.835	0.238
chr20,30133590,30133778	1.000	NA	NA	0.636
chr20,22810980,22811801	0.850	0.250	NA	NA
chr20,23505338,23506961	0.974	0.680	0.298	0.841
chr20,35962339,35962507	0.400	NA	0.786	1.000
chr20,56928805,56929244	0.864	0.933	0.265	0.704
chr20,49436403,49436479	NA	0.304	NA	0.667
chr20,7626019,7630403	0.929	0.776	0.951	0.620
chr20,34320017,34320244	NA	0.640	NA	0.888
chr20,31646037,31647639	0.846	0.912	0.871	0.615
chr20,61177409,61178221	0.953	0.902	0.684	0.889
chr20,24722251,24722390	0.917	0.160	0.875	0.727
chr20,14302145,14302883	0.417	0.933	0.955	0.867
chr20,24493130,24493347	1.000	0.533	NA	NA
chr20,37081535,37082399	0.725	1.000	0.850	1.000
chr20,33567507,33567621	1.000	NA	0.571	NA
chr20,52216335,52216666	0.933	1.000	0.952	0.692
chr20,46508621,46509136	NA	0.944	0.925	0.273
chr20,62210403,62210636	NA	1.000	0.636	0.480
chr20,55330218,55330622	1.000	1.000	0.679	0.438
chr20,59821559,59821849	1.000	0.905	NA	0.643
chr20,24712345,24712776	1.000	0.833	1.000	1.000
chr20,43308947,43309225	NA	0.000	NA	1.000
chr20,57935314,57935769	0.750	1.000	0.808	0.793
chr20,3605736,3606316	1.000	0.969	0.119	0.769
chr20,51816850,51817008	1.000	NA	NA	0.545
chr20,41948896,41950499	0.872	0.940	0.934	0.748
chr20,44010395,44011112	1.000	0.931	0.844	0.462
chr20,33285590,33286238	1.000	0.765	0.579	0.875
chr20,61272759,61272802	0.000	0.087	NA	0.400
chr20,44014824,44018579	0.982	0.948	0.891	0.690
chr20,43978005,43978365	0.933	1.000	0.737	0.571
chr20,41794080,41798611	0.853	0.811	0.637	0.769
chr20,32505927,32507705	0.729	0.750	0.778	0.255
chr20,35569454,35569472	NA	NA	1.000	0.250
chr20,60426769,60427397	1.000	0.684	0.833	0.478
chr20,59297788,59299123	0.625	0.935	0.820	1.000
chr20,12780002,12780085	1.000	NA	NA	0.667
chr20,5848696,5850940	0.300	0.778	0.821	0.905
chr20,44411083,44411362	0.667	0.909	0.714	1.000
chr20,31738582,31739170	NA	0.571	0.538	1.000
chr20,4176773,4177410	1.000	0.714	0.563	0.727
chr20,14663403,14664114	0.968	0.840	0.975	0.667
chr20,3564191,3565428	NA	0.917	0.721	0.812
chr20,55584204,55584971	0.643	0.907	0.711	0.943
chr20,35994417,35995631	NA	0.571	0.105	NA
chr20,45266818,45267219	0.909	0.875	0.062	0.944
chr20,3285779,3287564	0.786	0.929	1.000	0.640
chr20,5830459,5832643	0.776	0.878	0.870	1.000
chr20,56589541,56591447	0.938	0.821	0.962	0.621
chr20,54179514,54185528	0.855	0.765	0.792	0.935
chr20,60803231,60805114	0.500	0.447	0.752	0.319
chr20,19794152,19795979	0.848	0.487	0.962	0.500
chr20,42649541,42649865	0.889	0.972	0.759	0.517
chr20,944110,944976	0.931	0.632	0.744	0.538
chr20,59867090,59868509	0.811	0.933	0.731	0.586
chr20,14450838,14451659	0.684	0.848	0.903	1.000
chr20,31593127,31593840	NA	0.500	0.250	0.824
chr20,52668420,52669439	0.958	1.000	0.824	0.179
chr20,57886595,57889153	0.711	0.936	0.875	0.297
chr20,56826815,56827736	NA	0.914	0.786	0.557
chr20,4993272,4994757	0.917	0.982	0.895	0.914
chr20,53494090,53494671	0.693	0.958	0.961	0.571
chr20,53792215,53792655	NA	0.500	NA	1.000
chr20,32844255,32844737	0.667	0.912	0.500	NA
chr20,15190752,15192264	0.727	0.618	0.704	0.983
chr20,1981962,1984474	0.708	0.980	0.924	0.705
chr20,33657667,33658633	NA	1.000	0.692	0.526
chr20,19556256,19557337	0.429	0.944	0.972	1.000
chr20,61483154,61484287	NA	0.978	0.901	1.000
chr20,46760618,46760998	0.417	0.400	0.956	NA
chr20,52873935,52874717	0.929	0.095	0.680	1.000
chr20,51789860,51790314	1.000	NA	0.706	NA
chr20,30218464,30219599	0.908	1.000	0.721	0.678
chr20,1559244,1559615	NA	0.538	0.880	NA
chr20,3878907,3880036	0.784	1.000	0.936	0.829
chr20,48379400,48381285	0.725	0.906	0.870	0.719
chr20,47527290,47527574	0.571	0.714	0.357	0.912
chr20,41817555,41818501	0.067	0.113	0.011	0.026
chr20,25357116,25361255	1.000	0.924	0.973	0.966
chr20,29837190,29839453	0.636	0.060	0.343	0.302
chr20,61030021,61030217	0.520	0.783	0.154	NA
chr20,30007923,30008985	0.919	0.684	0.657	0.766
chr20,37121533,37124907	0.898	0.975	0.992	0.879
chr20,55819378,55820347	0.647	0.682	0.308	0.933
chr20,20959847,20965750	0.605	0.858	0.729	0.848
chr20,48997490,48998247	0.706	0.373	0.800	0.641
chr20,49157887,49158925	0.846	0.400	0.235	0.305
chr20,43551713,43551988	1.000	0.268	0.900	NA
chr20,60509369,60509560	NA	NA	0.479	1.000
chr20,42721219,42722342	0.818	0.622	0.550	1.000
chr20,38817158,38818490	0.467	0.923	NA	0.688
chr20,40779820,40781258	0.979	0.758	0.960	0.957
chr20,62465126,62465364	0.783	0.981	0.632	0.737
chr20,47944148,47944787	0.762	0.983	0.867	0.267
chr20,39700498,39701698	NA	0.429	0.786	1.000
chr20,62657238,62657629	NA	0.971	0.798	1.000
chr20,43907633,43908321	0.231	0.200	0.600	0.812
chr20,34189578,34190159	0.148	0.078	0.011	0.188
chr20,56517202,56518377	0.977	0.969	0.644	0.800
chr20,35267648,35269079	0.957	0.803	0.933	0.462
chr20,6464142,6465265	1.000	0.947	0.615	NA
chr20,40564994,40566573	1.000	0.611	0.825	1.000
chr20,62352423,62352634	1.000	1.000	0.921	0.286
chr20,16024594,16024856	NA	0.200	0.957	NA
chr20,55299609,55300371	0.500	NA	1.000	1.000
chr20,10341370,10343127	1.000	0.778	0.969	0.364
chr20,2539165,2539875	0.430	0.216	0.212	0.046
chr20,12777356,12778202	NA	0.923	0.714	1.000
chr20,567883,568002	0.571	1.000	NA	1.000
chr20,62144688,62144733	NA	1.000	NA	0.600
chr20,10087604,10088091	0.111	0.000	0.647	0.737
chr20,58879428,58880850	0.747	1.000	0.873	1.000
chr20,26213214,26213409	0.545	0.788	0.944	0.750
chr20,43691141,43691581	NA	1.000	0.333	NA
chr20,4038949,4039310	NA	1.000	0.375	NA
chr20,62288648,62289005	NA	0.643	0.955	NA
chr20,40745861,40746832	0.798	0.895	0.931	0.676
chr20,24271753,24272408	1.000	1.000	0.600	1.000
chr20,56575432,56576212	1.000	0.962	0.938	0.611
chr20,45295360,45296187	0.800	0.857	0.578	0.913
chr20,20348384,20348558	0.000	0.022	0.000	0.000
chr20,61290007,61290103	NA	NA	0.680	1.000
chr20,51515876,51518037	0.880	0.636	0.808	1.000
chr20,26268639,26269622	0.935	0.947	0.921	0.156
chr20,53378156,53385745	0.738	0.806	0.795	0.546
chr20,60110877,60111426	NA	0.914	0.190	NA
chr20,2347578,2349576	0.776	0.986	0.957	1.000
chr20,49410522,49410897	0.686	0.543	0.057	0.063
chr20,19355548,19356649	0.174	0.241	0.783	NA
chr20,44920537,44921371	0.714	0.688	0.818	0.976
chr20,42405749,42406092	1.000	0.778	0.923	0.211
chr20,38520085,38525904	0.687	0.717	0.833	0.506
chr20,37812310,37814868	0.733	0.621	0.286	0.371
chr20,45995957,45996180	NA	1.000	0.625	NA
chr20,49886916,49888563	0.929	0.912	0.831	0.482
chr20,36560078,36560582	0.370	0.471	0.830	NA
chr20,594926,596006	0.675	0.971	0.867	1.000
chr20,32515480,32515762	1.000	NA	0.529	NA
chr20,23456002,23456410	0.923	NA	0.846	0.000
chr20,22632967,22634241	0.256	0.699	0.830	0.558
chr20,48556869,48557466	0.978	1.000	0.966	0.680
chr20,12458504,12462501	0.861	0.744	0.718	1.000
chr20,57242178,57243739	0.958	0.386	0.864	0.393
chr20,31366688,31367106	NA	0.833	0.944	0.385
chr20,23483451,23483722	0.412	0.909	0.938	0.773
chr20,39628209,39628256	1.000	0.750	1.000	NA
chr20,52565961,52566179	0.030	0.217	0.000	0.000
chr20,13897270,13898110	1.000	0.562	0.417	1.000
chr20,9829980,9830043	1.000	1.000	0.647	1.000
chr20,1205220,1206639	0.148	0.508	0.763	0.255
chr20,61531765,61532590	0.304	0.510	0.294	1.000
chr20,37985916,37987709	0.889	0.562	0.538	1.000
chr20,17656047,17656589	1.000	0.955	0.731	0.760
chr20,15151627,15155218	0.672	0.784	0.976	0.795
chr20,9227427,9229992	0.590	0.913	0.981	0.838
chr20,36699625,36700898	0.968	0.904	1.000	0.855
chr20,8340430,8341348	1.000	0.941	0.773	1.000
chr20,44884112,44884515	NA	0.556	0.476	0.822
chr20,35633794,35634460	0.074	0.643	0.750	0.912
chr20,5987674,5989279	0.577	0.370	0.099	0.163
chr20,59692144,59692771	1.000	1.000	0.783	1.000
chr20,60003436,60003757	1.000	1.000	0.667	NA
chr20,30884844,30885401	0.488	NA	0.773	0.867
chr20,61657371,61657505	NA	0.042	0.304	0.500
chr20,7742114,7742633	1.000	0.889	0.909	0.511
chr20,45306519,45308494	0.913	0.959	0.926	0.731
chr20,61274797,61275198	NA	0.528	0.924	0.169
chr20,12304231,12304356	NA	0.667	0.333	1.000
chr20,32417486,32420510	0.783	0.953	0.823	0.714
chr20,23990228,23991080	0.611	0.950	0.917	1.000
chr20,40134030,40137374	0.945	0.877	0.747	0.922
chr20,15057995,15060117	0.750	0.871	0.122	0.796
chr20,39320924,39321009	0.000	0.000	0.167	NA
chr20,51206662,51207732	0.731	0.960	0.761	0.786
chr20,8646375,8648131	1.000	0.984	0.889	1.000
chr20,44522182,44522800	1.000	0.714	0.750	0.364
chr20,40145161,40145756	0.840	0.857	0.513	NA
chr20,38192377,38193567	0.846	0.955	0.356	1.000
chr20,61647122,61647292	0.000	0.950	0.211	NA
chr20,31895062,31897415	0.941	0.923	0.921	0.741
chr20,39946276,39947669	0.300	0.581	0.205	0.310
chr20,39203182,39207393	0.339	0.510	0.694	0.847
chr20,8490479,8491283	0.250	0.828	NA	0.769
chr20,47375283,47376040	1.000	0.708	0.816	0.983
chr20,41499013,41501195	0.967	0.870	0.953	0.451
chr20,57890262,57890950	0.939	0.957	0.950	0.739
chr20,49182368,49182954	0.975	0.846	0.923	0.500
chr20,4580237,4581055	1.000	0.294	0.963	0.833
chr20,62724345,62724702	NA	0.500	0.733	1.000
chr20,43727125,43727370	0.125	0.387	0.140	NA
chr20,45563128,45563314	0.973	NA	1.000	0.529
chr20,49001835,49004670	0.481	0.612	0.389	0.420
chr20,9598654,9599765	0.767	0.825	0.857	0.597
chr20,35365605,35366999	0.913	0.987	0.852	0.836
chr20,45619204,45620625	0.500	0.711	0.885	0.600
chr20,20656701,20657614	0.586	0.938	0.909	0.923
chr20,46977152,46977333	NA	0.929	NA	0.424
chr20,1649029,1650187	0.965	0.982	0.820	0.967
chr20,45328932,45330650	0.786	0.895	0.787	0.455
chr20,25750673,25754721	0.942	0.745	0.552	0.400
chr20,24331731,24332411	0.816	0.931	0.938	0.417
chr20,2170905,2171040	NA	0.375	NA	1.000
chr20,13556056,13556655	0.962	0.887	1.000	0.732
chr20,48086741,48087869	0.913	0.971	0.909	0.769
chr20,32212268,32212832	0.500	0.927	0.667	1.000
chr20,61038840,61039665	1.000	0.855	0.859	0.567
chr20,46024064,46024832	0.897	0.886	0.976	0.550
chr20,56438404,56441284	0.880	0.869	0.173	0.722
chr20,17477575,17478309	0.875	0.938	0.447	0.636
chr20,30707897,30709856	0.895	0.979	0.893	0.738
chr20,50496813,50497308	1.000	1.000	0.773	NA
chr20,52300790,52301428	0.677	0.992	0.931	0.727
chr20,24625758,24625999	NA	0.273	NA	1.000
chr20,43332133,43332882	NA	0.500	0.947	1.000
chr20,342419,342739	NA	1.000	1.000	0.765
chr20,41679783,41680831	0.758	0.893	0.980	0.750
chr20,45238633,45239864	0.877	0.956	0.962	0.789
chr20,2361839,2363103	0.474	0.742	0.535	1.000
chr20,62459374,62459706	1.000	0.957	0.914	0.793
chr20,58967065,58968172	0.887	0.944	0.831	0.393
chr20,37675643,37675821	NA	0.206	NA	1.000
chr20,12292286,12293919	0.933	0.529	0.941	0.788
chr20,5816195,5817787	0.595	0.912	0.789	0.826
chr20,18169450,18169958	1.000	0.897	0.909	0.739
chr20,1762531,1763614	0.893	0.833	0.581	0.571
chr20,486739,488361	1.000	0.636	0.957	0.707
chr20,32036062,32036345	0.739	1.000	NA	1.000
chr20,5001253,5002193	0.833	0.963	0.893	0.632
chr20,15825974,15827265	0.525	0.848	0.758	0.596
chr20,728040,729377	0.796	0.950	0.974	0.721
chr20,41815282,41816590	0.297	0.320	0.429	0.789
chr20,47081643,47082821	0.894	0.933	0.778	0.852
chr20,40851647,40853200	0.919	0.909	0.727	0.776
chr20,60024456,60025060	1.000	0.880	0.892	0.615
chr20,51398527,51400097	0.867	0.821	0.588	0.553
chr20,42099370,42099499	0.667	0.231	NA	NA
chr20,21768456,21768766	NA	1.000	0.500	0.417
chr20,58536300,58536588	NA	NA	0.960	0.500
chr20,50506900,50507927	0.990	0.786	0.869	0.766
chr20,61970686,61972390	0.500	0.411	0.622	0.296
chr20,62667563,62669140	0.172	0.569	0.832	0.212
chr20,60559524,60559772	NA	0.833	0.379	NA
chr20,39414937,39415433	0.867	0.406	0.864	0.593
chr20,52240026,52240113	NA	0.984	NA	0.000
chr20,56593380,56594017	1.000	0.719	0.922	0.689
chr20,12493515,12494216	1.000	0.167	0.692	NA
chr20,2602537,2605000	0.931	0.743	0.627	0.627
chr20,48472356,48473306	1.000	1.000	0.867	1.000
chr20,35403153,35403797	0.261	0.529	0.838	NA
chr20,3739138,3740048	NA	0.979	0.737	0.786
chr20,57716141,57717591	0.957	0.960	0.696	1.000
chr20,37064540,37064852	NA	0.944	NA	0.462
chr20,39153994,39155195	0.943	0.991	0.826	0.862
chr20,60787771,60788743	0.917	NA	NA	0.304
chr20,39427406,39432057	0.935	0.856	0.728	0.917
chr20,3732342,3733475	0.902	0.652	0.384	0.257
chr20,5737877,5739188	0.875	1.000	0.880	0.182
chr20,53184839,53185448	0.853	0.909	0.977	1.000
chr20,60740445,60741105	0.843	0.848	0.970	1.000
chr20,8634082,8635030	0.722	0.985	0.077	1.000
chr20,30173857,30174072	NA	0.968	0.296	1.000
chr20,33368947,33369944	0.938	0.989	0.903	0.684
chr20,863652,863950	0.400	0.600	0.902	NA
chr20,44963105,44964336	0.756	0.543	0.200	0.276
chr20,62373955,62374224	1.000	0.917	0.658	NA
chr20,18783453,18785785	0.600	0.923	0.932	0.902
chr20,58400953,58402006	0.350	0.475	0.945	1.000
chr20,8409713,8410247	0.469	0.951	0.346	NA
chr20,37559572,37561452	0.909	0.986	0.946	0.711
chr20,57656988,57658617	0.310	0.619	0.052	0.438
chr20,55025815,55026513	0.618	0.704	0.873	NA
chr20,35819675,35822883	0.851	0.889	0.779	0.425
chr20,41447942,41454473	0.792	0.879	0.836	0.989
chr20,50109520,50110226	0.911	0.763	0.595	1.000
chr20,59237064,59237763	NA	0.960	0.667	1.000
chr20,53456815,53457165	1.000	0.961	NA	0.569
chr20,62441592,62442253	0.769	0.923	0.623	0.811
chr20,45782349,45783345	0.971	0.989	0.968	0.815
chr20,51152129,51152760	NA	0.211	1.000	NA
chr20,60346546,60348147	0.925	0.877	0.753	0.632
chr20,55592336,55593368	1.000	0.640	0.837	1.000
chr20,23589196,23589513	0.962	0.909	0.889	0.310
chr20,49993138,49993443	0.615	NA	0.902	NA
chr20,10534494,10534930	0.912	0.667	NA	0.455
chr20,44795376,44796925	0.700	0.533	0.962	1.000
chr20,3048626,3048847	1.000	0.153	0.812	1.000
chr20,59991715,59992283	1.000	0.288	0.857	0.800
chr20,7181617,7182489	0.644	0.818	0.711	1.000
chr20,12447370,12448619	0.762	0.846	0.381	0.500
chr20,40881742,40881925	NA	1.000	0.636	NA
chr20,49303620,49304090	1.000	1.000	0.957	1.000
chr20,20209894,20211418	0.917	0.872	0.836	0.725
chr20,10145954,10146248	0.643	NA	0.917	1.000
chr20,59709495,59710157	0.485	0.366	0.417	0.850
chr20,58796265,58798764	0.944	0.845	0.724	0.529
chr20,47039873,47041935	0.769	0.970	0.588	NA
chr20,40788494,40789681	0.854	0.966	0.595	0.190
chr20,44615237,44615484	NA	1.000	0.667	NA
chr20,38406026,38410127	0.682	0.893	0.826	0.429
chr20,45114637,45114819	0.833	0.125	0.500	0.000
chr20,29598649,29602419	0.475	0.372	0.182	0.440
chr20,48733748,48734176	0.529	NA	0.984	0.529
chr20,59789107,59790462	0.846	0.325	0.707	0.743
chr20,57385687,57385910	NA	0.706	1.000	NA
chr20,7474875,7480770	0.805	0.569	0.904	0.219
chr20,61816705,61817128	0.875	0.742	1.000	0.743
chr20,5409702,5412218	0.857	0.848	0.948	0.529
chr20,12711575,12713732	0.849	0.870	0.950	0.786
chr20,5184565,5185683	0.846	0.945	0.561	0.892
chr20,24553928,24556009	0.750	0.911	0.885	0.821
chr20,61754048,61755625	0.920	0.875	0.830	0.598
chr20,34471419,34472161	0.955	1.000	0.720	NA
chr20,31585296,31586089	1.000	0.833	0.236	NA
chr20,39861514,39865965	0.833	0.903	0.889	0.584
chr20,14915201,14921004	0.870	0.865	0.767	0.690
chr20,41343184,41344819	0.385	0.105	0.522	0.448
chr20,33913319,33913499	NA	1.000	0.583	1.000
chr20,33322895,33323816	0.556	0.667	0.857	1.000
chr20,61723475,61723963	NA	0.761	0.922	0.938
