1chr_position	sample4	sample3	sample1	sample2
chr19,42406432,42406775	1.000	0.772	1.000	1.000
chr19,41747166,41749060	0.892	0.889	0.788	0.561
chr19,1403921,1404739	0.509	0.898	0.625	0.387
chr19,51912123,51912911	0.348	0.594	0.136	0.800
chr19,7739900,7740940	0.877	0.729	0.720	1.000
chr19,28966035,28967171	0.640	0.667	0.542	0.101
chr19,37654458,37654972	NA	1.000	0.135	1.000
chr19,40979284,40979558	0.062	NA	NA	0.800
chr19,37336801,37336952	0.667	NA	1.000	1.000
chr19,29725454,29726653	0.824	0.583	0.800	0.154
chr19,28171414,28172972	0.820	0.699	0.522	0.937
chr19,9571636,9571914	0.882	1.000	0.778	1.000
chr19,56118133,56118542	0.447	0.381	0.706	0.880
chr19,58475686,58476011	0.861	0.984	0.700	NA
chr19,1654374,1655392	0.957	0.746	0.881	0.935
chr19,12776536,12777224	0.090	0.491	0.000	0.000
chr19,57026848,57028570	0.900	0.789	0.693	1.000
chr19,51234040,51234406	0.879	1.000	0.756	1.000
chr19,16183437,16183950	0.684	NA	0.667	1.000
chr19,34797862,34799099	0.853	0.738	1.000	1.000
chr19,16612302,16612558	0.846	0.929	0.931	0.610
chr19,49787703,49788069	0.867	NA	0.950	0.444
chr19,56979830,56980284	0.917	0.650	0.889	1.000
chr19,7109135,7109869	0.700	1.000	0.731	0.923
chr19,23772421,23776626	0.714	0.813	0.326	0.512
chr19,54197276,54197964	0.818	NA	0.993	0.609
chr19,21271588,21281158	0.925	0.880	0.884	0.971
chr19,1265300,1265513	0.853	1.000	0.481	1.000
chr19,15155509,15156471	0.786	0.920	0.875	0.471
chr19,48004249,48005264	0.889	0.894	1.000	0.542
chr19,35422693,35422986	NA	NA	1.000	0.333
chr19,41504211,41506874	0.933	0.968	0.750	0.947
chr19,36971938,36972371	0.164	0.900	1.000	1.000
chr19,1641474,1642305	0.827	0.936	0.696	0.500
chr19,39168799,39169111	0.400	0.000	0.367	NA
chr19,2507143,2507192	0.200	1.000	NA	NA
chr19,40275856,40278740	0.754	0.800	0.551	0.753
chr19,53030582,53030995	0.215	0.000	0.000	0.000
chr19,51919703,51922012	0.197	0.235	0.446	0.426
chr19,45833343,45833791	0.821	0.950	0.796	0.592
chr19,53078911,53080496	0.890	0.635	0.817	0.729
chr19,28705615,28706061	0.815	1.000	0.386	0.710
chr19,56010440,56011002	0.881	0.667	0.787	0.538
chr19,55162646,55163027	0.529	0.955	NA	0.667
chr19,54641733,54641880	0.152	NA	0.000	0.000
chr19,57406510,57408593	0.773	0.629	0.890	0.916
chr19,49052026,49052961	0.500	1.000	0.848	0.619
chr19,36322059,36322454	0.735	0.526	0.929	0.815
chr19,18913201,18913231	0.971	0.667	NA	NA
chr19,32671080,32671900	0.921	1.000	0.621	0.235
chr19,58555930,58556379	0.371	0.871	0.786	0.844
chr19,12089701,12090135	1.000	1.000	0.409	0.818
chr19,18791414,18793779	0.845	0.866	0.881	0.576
chr19,12507448,12509063	0.980	0.520	0.950	0.806
chr19,13960801,13961710	0.328	0.248	0.618	0.212
chr19,50183988,50184072	0.050	0.000	0.243	NA
chr19,16396765,16397145	0.000	0.000	0.000	0.375
chr19,5654818,5655112	0.939	0.900	0.188	1.000
chr19,45276461,45277377	0.985	0.889	0.891	0.455
chr19,17986897,17987928	0.881	0.806	0.932	1.000
chr19,57119830,57120062	0.706	1.000	1.000	1.000
chr19,36374525,36376233	0.583	NA	0.952	0.800
chr19,8304577,8306643	0.581	0.663	0.639	0.193
chr19,38993817,38994149	1.000	1.000	NA	0.600
chr19,32513325,32513891	0.844	0.763	0.902	0.948
chr19,3630228,3630530	0.987	NA	0.800	0.886
chr19,49769309,49771099	0.447	0.909	0.367	0.190
chr19,49719652,49720168	0.612	1.000	0.900	0.615
chr19,7981881,7982133	0.000	0.410	NA	0.000
chr19,39627164,39628167	0.810	0.957	0.976	0.921
chr19,18068413,18070568	0.886	0.824	0.856	0.730
chr19,6790059,6792274	0.865	0.627	0.851	0.864
chr19,51644006,51644427	0.692	0.909	0.173	NA
chr19,19358979,19360039	0.876	0.897	0.996	0.833
chr19,38349494,38349700	1.000	1.000	NA	0.375
chr19,44090081,44091246	0.966	1.000	0.562	0.722
chr19,57672323,57672623	0.529	1.000	NA	0.812
chr19,6365439,6365916	0.917	NA	0.650	1.000
chr19,32163124,32163922	0.773	NA	0.250	NA
chr19,49588670,49588867	0.037	0.000	0.000	NA
chr19,3106221,3107881	0.943	0.971	0.938	0.683
chr19,58342979,58343269	0.556	0.812	1.000	0.615
chr19,51306013,51306793	0.633	0.000	0.345	0.722
chr19,23953810,23955474	0.529	1.000	0.737	0.643
chr19,4558813,4559159	0.060	0.533	NA	0.524
chr19,49314821,49315428	0.029	0.351	0.353	NA
chr19,295673,297215	0.321	0.623	0.589	0.841
chr19,41106685,41107160	0.000	NA	0.000	0.030
chr19,31414486,31415487	0.691	0.756	0.943	0.718
chr19,48188930,48189189	1.000	NA	NA	0.583
chr19,49509829,49510320	0.971	0.923	0.977	0.633
chr19,3850054,3850600	0.506	NA	0.818	0.763
chr19,35617309,35617677	0.946	1.000	0.952	0.100
chr19,45781140,45781619	0.870	0.974	1.000	0.611
chr19,20767365,20776451	0.840	0.681	0.837	0.575
chr19,17488795,17489039	0.917	NA	0.917	0.545
chr19,1733873,1734238	0.846	0.800	0.894	0.094
chr19,29452067,29455168	0.797	0.690	0.902	1.000
chr19,33774275,33776953	0.948	0.933	0.870	0.747
chr19,18498894,18499914	0.079	0.115	0.007	0.320
chr19,5687810,5688304	0.888	0.804	0.782	0.973
chr19,50544234,50545206	0.967	1.000	0.952	0.200
chr19,3213136,3213624	0.800	1.000	0.938	0.340
chr19,8446542,8451566	0.623	0.848	0.710	0.531
chr19,52518189,52519643	0.919	1.000	0.901	0.792
chr19,41932677,41934887	0.071	0.455	0.073	0.029
chr19,28788259,28789105	0.509	0.167	0.655	0.879
chr19,18248738,18249597	0.879	0.970	0.785	0.333
chr19,52628570,52628919	1.000	NA	0.351	NA
chr19,37175469,37177867	0.646	0.222	0.653	0.588
chr19,43901067,43902728	0.815	0.969	0.971	0.957
chr19,28400279,28400537	0.881	0.409	0.962	NA
chr19,16209107,16209524	0.938	0.950	0.395	1.000
chr19,46059670,46060285	0.867	1.000	NA	0.367
chr19,24302952,24303736	0.846	1.000	0.947	0.294
chr19,55170787,55171995	0.899	0.906	0.854	0.638
chr19,15129254,15129674	0.882	1.000	0.714	1.000
chr19,56626056,56626380	0.574	1.000	0.739	0.619
chr19,10747421,10747582	0.500	NA	0.944	NA
chr19,19571906,19574456	0.610	0.655	0.430	0.150
chr19,3080412,3080533	NA	0.632	0.929	0.588
chr19,13093883,13093989	0.903	NA	0.571	0.074
chr19,28733413,28734335	0.739	0.705	0.519	0.071
chr19,319854,320095	0.949	0.656	0.941	0.417
chr19,14407619,14409240	0.640	0.648	0.758	0.779
chr19,1123058,1123686	0.828	0.578	0.924	0.700
chr19,8767116,8770927	0.787	0.915	0.835	0.638
chr19,5724048,5725264	0.793	0.928	0.758	0.575
chr19,40732653,40732901	0.170	0.000	0.074	NA
chr19,57993242,57994227	0.972	0.500	0.727	NA
chr19,10507898,10508273	1.000	NA	0.545	NA
chr19,55433774,55434079	0.935	0.625	0.857	1.000
chr19,31390158,31392235	0.852	0.768	0.816	1.000
chr19,19601169,19601671	0.016	0.341	0.205	NA
chr19,47750895,47751316	0.268	0.032	0.571	NA
chr19,38433445,38433988	0.889	0.550	0.882	1.000
chr19,1545823,1546122	0.235	0.143	NA	0.750
chr19,44223656,44223786	0.440	NA	0.923	NA
chr19,52821137,52821655	0.989	0.958	1.000	0.769
chr19,375529,376008	0.950	1.000	0.784	NA
chr19,7697846,7698420	0.980	0.857	1.000	0.759
chr19,33478200,33483391	0.531	0.741	0.930	0.523
chr19,19983791,19984801	0.900	0.833	0.106	0.259
chr19,55933846,55934275	1.000	NA	1.000	0.917
chr19,17901979,17902991	0.673	0.156	0.176	0.200
chr19,1009778,1009906	0.664	0.597	0.846	1.000
chr19,30073507,30074870	1.000	NA	0.613	NA
chr19,490182,490835	0.922	0.929	0.702	0.556
chr19,32052254,32052582	0.833	1.000	1.000	1.000
chr19,51178484,51179206	0.123	0.786	0.520	NA
chr19,22210984,22212728	0.833	1.000	0.276	1.000
chr19,14777822,14778685	0.957	0.955	0.944	0.333
chr19,709677,710532	0.165	0.681	0.492	0.324
chr19,17434064,17434669	0.458	0.310	0.673	0.051
chr19,30600254,30602874	0.890	0.881	0.938	0.808
chr19,54697834,54698698	0.966	1.000	1.000	0.720
chr19,16762359,16765487	0.977	0.986	0.915	0.986
chr19,36499283,36500264	0.410	0.364	0.897	0.662
chr19,39679410,39679771	0.692	0.480	0.879	NA
chr19,29139267,29140130	NA	0.200	0.600	0.833
chr19,44402098,44402632	0.800	0.882	0.238	NA
chr19,28250280,28251050	0.717	0.923	0.969	0.688
chr19,17183402,17183695	0.606	0.556	0.919	0.933
chr19,20432675,20435746	0.899	0.556	0.707	0.562
chr19,671207,671863	0.842	0.978	0.909	0.400
chr19,18345340,18346259	0.573	0.920	0.741	0.561
chr19,3101193,3101856	0.800	0.926	0.986	0.940
chr19,41516231,41518450	0.843	0.545	0.842	0.852
chr19,4719677,4719847	0.864	1.000	0.923	0.722
chr19,21810623,21810757	0.812	0.632	NA	1.000
chr19,34390559,34394730	0.871	0.833	0.760	0.703
chr19,39460908,39463162	0.826	0.630	0.957	0.698
chr19,31411718,31412280	0.731	NA	1.000	1.000
chr19,732163,732817	0.897	0.615	0.723	0.043
chr19,40420762,40421149	0.636	0.900	0.945	0.600
chr19,33284767,33285801	1.000	1.000	0.762	0.333
chr19,45117625,45118326	0.800	0.920	0.842	0.600
chr19,17834573,17835268	0.981	1.000	0.784	1.000
chr19,4099447,4099635	0.579	NA	NA	1.000
chr19,48001911,48002527	0.774	0.923	0.982	0.529
chr19,30221978,30222378	0.806	1.000	NA	0.583
chr19,43258558,43261148	0.846	0.619	1.000	1.000
chr19,57947581,57947753	0.167	NA	0.619	NA
chr19,22788903,22790026	0.833	0.786	0.765	0.484
chr19,45866716,45867012	0.909	1.000	NA	0.750
chr19,41488013,41489199	0.095	0.550	0.650	0.440
chr19,55561937,55562521	1.000	0.625	1.000	1.000
chr19,3382102,3382273	0.886	NA	1.000	0.556
chr19,51707612,51708566	0.774	0.943	0.756	0.593
chr19,22338412,22339815	0.286	0.600	NA	0.826
chr19,14288645,14289176	1.000	0.643	0.769	1.000
chr19,5268931,5269514	0.922	0.893	0.907	0.545
chr19,19738206,19739550	0.062	0.007	0.288	0.025
chr19,1092948,1093528	0.922	0.903	0.984	0.698
chr19,55918190,55918527	0.000	0.586	NA	NA
chr19,49204291,49204583	0.472	1.000	1.000	1.000
chr19,56355324,56356853	0.953	0.400	0.829	0.846
chr19,57096102,57096844	0.892	0.860	0.961	0.600
chr19,1288020,1288241	NA	NA	0.070	0.368
chr19,8207718,8209254	0.642	0.732	0.961	0.633
chr19,48584645,48585134	0.643	0.917	0.853	0.581
chr19,34217740,34218180	0.658	0.917	0.529	0.926
chr19,21069451,21069680	0.759	0.667	0.846	1.000
chr19,3171099,3171529	0.650	1.000	0.955	0.848
chr19,43039909,43040897	1.000	1.000	0.929	1.000
chr19,36096894,36097153	0.800	NA	0.963	0.400
chr19,59067427,59068081	0.695	1.000	0.857	0.763
chr19,12748412,12749782	0.987	0.984	0.900	1.000
chr19,51944919,51945108	0.188	NA	NA	0.000
chr19,36287432,36287804	0.333	NA	0.174	0.833
chr19,17780377,17780879	0.273	NA	0.969	0.900
chr19,1979876,1979926	0.974	0.562	NA	NA
chr19,56114734,56115094	1.000	0.968	0.765	1.000
chr19,43635406,43640783	0.924	0.821	0.781	0.866
chr19,8198149,8198525	0.905	0.975	0.578	NA
chr19,27804465,27809044	0.304	0.559	0.567	0.492
chr19,2332934,2334333	0.239	0.263	0.422	0.024
chr19,48273429,48273991	0.596	0.721	0.416	0.500
chr19,41787978,41789611	0.905	0.733	0.986	0.984
chr19,47231285,47233080	0.521	0.661	0.757	0.333
chr19,1737585,1738927	0.928	0.711	0.609	0.811
chr19,57106110,57106766	0.056	0.053	0.094	0.184
chr19,58432345,58433154	0.985	1.000	0.881	0.657
chr19,55392178,55393109	0.145	0.207	0.430	0.722
chr19,29564571,29565324	0.759	0.905	0.850	0.875
chr19,58315776,58317017	0.833	0.984	0.811	0.390
chr19,39051345,39051666	0.574	NA	NA	0.950
chr19,28771119,28771847	0.972	0.545	0.794	1.000
chr19,1974901,1975181	0.825	1.000	0.938	1.000
chr19,30414335,30416812	0.898	0.880	0.802	0.667
chr19,51315784,51316386	0.769	1.000	0.652	1.000
chr19,49790914,49793860	0.643	1.000	0.784	0.903
chr19,55214833,55215510	0.969	0.952	0.421	NA
chr19,55979052,55979383	0.086	0.800	0.000	0.000
chr19,2055950,2057055	0.136	0.019	0.196	0.258
chr19,49186460,49186621	0.988	NA	0.778	NA
chr19,54017826,54018722	1.000	0.875	0.962	0.533
chr19,28883581,28885969	0.374	0.318	0.267	0.043
chr19,28656001,28657362	0.821	0.957	0.800	0.699
chr19,34978478,34980198	0.948	0.882	0.937	0.782
chr19,49633346,49633799	0.823	0.924	1.000	0.851
chr19,6665664,6666089	NA	0.455	NA	1.000
chr19,10646032,10646646	0.696	NA	0.500	0.970
chr19,46414984,46415476	0.860	0.907	0.727	1.000
chr19,24270447,24271106	0.120	0.528	0.056	0.564
chr19,33950491,33953437	0.986	0.841	0.893	0.945
chr19,34648991,34649456	0.976	0.917	0.973	0.763
chr19,44176945,44177448	0.733	1.000	NA	1.000
chr19,42754605,42756587	0.219	0.381	0.057	0.636
chr19,38399994,38401346	0.958	0.812	0.914	1.000
chr19,3812591,3813063	0.312	0.242	0.095	0.000
chr19,45575599,45575804	0.955	1.000	0.962	0.750
chr19,7805323,7805790	0.500	0.898	0.513	0.364
chr19,52358872,52359397	0.852	NA	1.000	1.000
chr19,4989385,4991211	0.916	0.975	0.919	0.613
chr19,10824556,10825252	0.990	0.882	1.000	0.927
chr19,7534885,7535512	0.923	0.925	0.947	0.357
chr19,31362582,31365320	0.508	0.890	0.881	0.977
chr19,15856825,15857033	0.312	0.636	0.368	0.194
chr19,3875182,3875749	0.963	1.000	0.870	1.000
chr19,30386583,30387881	0.591	0.816	0.483	0.842
chr19,11248082,11248385	0.269	0.857	NA	0.115
chr19,35164828,35165570	NA	0.571	NA	1.000
chr19,33863644,33864143	0.452	0.250	0.400	0.073
chr19,3136490,3137912	0.258	0.034	0.212	0.264
chr19,47138282,47138627	0.111	0.000	0.250	0.846
chr19,5806100,5807464	0.385	0.594	0.867	0.350
chr19,3430607,3431142	0.941	NA	0.702	1.000
chr19,27931294,27935164	0.667	0.573	0.406	0.439
chr19,14237663,14239517	0.459	0.578	0.684	0.658
chr19,41868374,41868946	0.968	0.684	0.758	0.823
chr19,19538783,19539444	0.135	0.667	0.894	0.579
chr19,17607575,17608529	0.895	0.806	1.000	0.485
chr19,44208230,44209471	0.786	0.079	0.667	0.722
chr19,44945410,44945989	NA	NA	0.296	1.000
chr19,3847611,3848063	1.000	1.000	0.811	0.824
chr19,34214864,34216257	0.691	0.521	0.820	0.787
chr19,18425349,18426046	0.838	1.000	0.903	0.534
chr19,31104163,31104831	0.884	0.537	0.426	0.737
chr19,45721251,45721554	0.606	0.947	0.900	0.643
chr19,19628069,19629262	0.982	1.000	0.864	0.833
chr19,55502553,55503006	0.824	1.000	0.821	0.500
chr19,56686634,56686963	0.818	NA	0.915	0.231
chr19,50949491,50950191	0.921	1.000	0.941	0.500
chr19,30003111,30003680	0.129	0.694	0.235	0.909
chr19,7506564,7507506	0.882	0.846	0.990	0.918
chr19,43182852,43184632	0.939	0.926	0.974	0.708
chr19,38471841,38472547	0.886	1.000	0.912	0.429
chr19,49574789,49575787	0.060	0.613	0.225	0.231
chr19,35670862,35671019	0.000	0.500	0.154	0.000
chr19,12585148,12588257	0.957	0.688	0.943	0.776
chr19,30270859,30271406	0.556	NA	0.472	0.156
chr19,43536003,43537579	0.400	NA	0.538	1.000
chr19,51774759,51777558	0.739	0.573	0.549	0.536
chr19,4327775,4328057	0.241	NA	0.136	0.460
chr19,12554617,12554745	0.500	0.643	1.000	NA
chr19,47086067,47087720	0.935	0.617	0.789	0.639
chr19,28688570,28690409	0.733	0.598	0.793	0.951
chr19,53053776,53054954	0.857	1.000	0.990	0.619
chr19,42454994,42456952	0.636	0.362	0.886	0.588
chr19,9060799,9063267	0.136	0.571	0.705	0.893
chr19,50156046,50156320	0.949	1.000	0.960	0.500
chr19,3577605,3577942	0.991	0.821	0.908	0.880
chr19,9734555,9735163	0.920	0.762	1.000	0.560
chr19,2645977,2646217	0.882	1.000	0.778	1.000
chr19,51255740,51256566	0.312	NA	0.647	0.094
chr19,3613571,3614117	0.979	1.000	0.933	0.655
chr19,42025804,42026446	0.974	0.886	0.789	0.692
chr19,45678433,45679053	1.000	NA	1.000	0.773
chr19,2556268,2556571	0.370	0.900	0.500	0.474
chr19,2346129,2346927	0.711	0.902	0.821	0.160
chr19,28767791,28770474	0.823	0.792	0.887	0.531
chr19,19169157,19169322	1.000	NA	0.583	NA
chr19,374095,374355	0.875	0.733	0.300	0.750
chr19,35070171,35071324	0.814	0.765	0.433	0.609
chr19,56104053,56104231	1.000	0.955	0.929	0.767
chr19,3005089,3006110	0.873	0.878	0.944	0.400
chr19,34142780,34143777	0.867	1.000	0.707	0.893
chr19,45485460,45486946	0.938	0.963	0.936	0.667
chr19,10343260,10343601	1.000	0.938	0.944	0.000
chr19,13650129,13653434	0.630	0.887	0.891	0.655
chr19,33035731,33036959	0.985	0.850	0.865	0.895
chr19,15043074,15043826	0.783	0.977	0.536	0.878
chr19,19901586,19903102	0.969	0.944	0.980	0.835
chr19,43279189,43280227	0.686	0.955	0.944	0.972
chr19,23367199,23368803	0.712	0.744	0.902	0.136
chr19,48907650,48907889	0.923	0.944	0.269	0.929
chr19,36642255,36642864	0.410	0.952	0.500	0.938
chr19,5038085,5038301	0.417	NA	0.500	0.868
chr19,42491249,42491702	1.000	0.533	NA	0.722
chr19,15328725,15329035	1.000	1.000	0.810	0.625
chr19,38915808,38917226	0.311	0.158	0.500	0.068
chr19,50053466,50053897	0.971	1.000	0.769	1.000
chr19,22597245,22598633	1.000	1.000	0.982	0.837
chr19,34225506,34226297	0.353	0.867	NA	NA
chr19,41783986,41784120	NA	NA	0.250	1.000
chr19,54249685,54250103	0.429	0.920	0.231	0.250
chr19,35363936,35364818	0.889	NA	0.893	0.037
chr19,32813854,32814278	0.923	NA	0.193	1.000
chr19,14647616,14649039	0.804	0.556	0.773	0.578
chr19,46687042,46687698	0.933	NA	0.967	0.676
chr19,49988879,49989415	0.980	0.818	0.886	0.836
chr19,21527307,21527588	0.917	NA	0.750	0.633
chr19,19458615,19459600	0.981	NA	0.943	0.711
chr19,43100757,43101516	0.265	0.524	0.024	NA
chr19,14435848,14437341	1.000	0.636	0.833	0.636
chr19,2193437,2193549	0.733	NA	1.000	NA
chr19,8410227,8410298	NA	NA	0.700	0.967
chr19,55488200,55489103	0.904	0.981	0.963	0.673
chr19,47157247,47157824	0.560	1.000	0.475	0.207
chr19,29287349,29288713	NA	0.926	0.603	0.765
chr19,55470230,55471615	0.147	0.429	0.228	0.304
chr19,12999271,13000184	0.909	0.519	0.897	NA
chr19,12004314,12006817	0.885	0.807	0.958	0.586
chr19,4422288,4422640	0.730	NA	0.609	1.000
chr19,50091717,50092201	0.683	NA	0.880	1.000
chr19,47353870,47354239	0.000	0.076	0.000	0.000
chr19,47494001,47494938	0.062	0.545	0.042	0.353
chr19,57502105,57502169	NA	NA	1.000	0.571
chr19,15496241,15496806	0.857	1.000	0.583	0.729
chr19,54074203,54074369	0.947	1.000	NA	0.783
chr19,12911595,12912187	0.335	0.732	0.164	0.245
chr19,3126700,3126968	0.895	NA	1.000	0.600
chr19,48878435,48878650	1.000	0.818	0.963	0.688
chr19,18434797,18434800	NA	NA	0.969	0.455
chr19,20335943,20337062	0.783	1.000	0.818	1.000
chr19,9255934,9257063	0.793	1.000	0.971	0.750
chr19,39925851,39927419	0.183	0.065	0.256	0.494
chr19,14683013,14683342	0.531	0.000	0.400	NA
chr19,57763187,57764027	0.667	1.000	0.149	1.000
chr19,28940659,28940698	0.952	0.500	0.438	0.885
chr19,44955932,44956027	1.000	0.100	0.897	NA
chr19,37439262,37439952	0.917	1.000	0.514	1.000
chr19,54006481,54007795	0.390	0.723	0.125	NA
chr19,1972057,1973971	0.925	0.804	0.882	1.000
chr19,52951919,52952914	0.944	0.308	0.745	0.944
chr19,45931170,45932577	0.075	NA	0.013	0.017
chr19,32329006,32329931	0.655	0.974	0.575	0.895
chr19,2488358,2488497	NA	NA	0.357	0.061
chr19,11873095,11874226	0.472	0.550	0.953	1.000
chr19,46314944,46315710	0.977	0.811	0.919	NA
chr19,56577231,56578935	0.194	0.484	0.210	0.087
chr19,50330521,50331011	0.940	1.000	0.923	0.804
chr19,39578190,39579423	0.796	0.938	0.824	0.986
chr19,54650256,54650471	1.000	0.579	1.000	NA
chr19,5342719,5343420	0.481	0.926	0.515	0.095
chr19,56564815,56564897	0.979	NA	NA	0.789
chr19,11824236,11825008	0.926	0.935	0.938	0.771
chr19,39249885,39252508	0.511	0.963	0.164	0.526
chr19,30826949,30829001	0.843	0.964	0.808	0.973
chr19,34774601,34775275	0.929	NA	0.941	0.281
chr19,54415476,54415735	1.000	0.731	1.000	NA
chr19,606378,606775	0.944	0.400	NA	1.000
chr19,11562213,11562508	0.985	0.909	0.364	0.786
chr19,47960173,47960976	0.231	0.273	0.188	0.038
chr19,51249510,51250025	0.765	0.750	0.625	1.000
chr19,32996771,32997953	0.955	0.375	0.951	0.852
chr19,49842978,49843793	0.515	0.806	0.910	0.047
chr19,3269693,3270034	0.762	0.441	0.833	0.438
chr19,4276797,4277456	0.643	0.273	0.553	1.000
chr19,5206118,5206885	0.898	0.968	0.860	0.600
chr19,32227842,32228178	NA	1.000	0.250	0.682
chr19,1411121,1411346	0.704	NA	NA	1.000
chr19,2201544,2201804	0.786	NA	1.000	0.618
chr19,52332483,52335374	0.630	0.718	0.773	0.984
chr19,29969550,29969667	0.571	0.000	NA	NA
chr19,47680023,47680923	NA	0.520	0.361	0.179
chr19,17591464,17593319	0.652	0.809	0.842	0.214
chr19,3571493,3572837	0.326	0.495	0.090	0.130
chr19,43511134,43513081	0.134	0.688	NA	NA
chr19,5052487,5054059	0.817	0.750	0.736	0.527
chr19,36329545,36330738	0.971	0.625	0.800	0.818
chr19,20596540,20601219	0.926	0.973	0.829	0.761
chr19,11502982,11504039	0.905	1.000	0.833	0.731
chr19,19867251,19868151	0.859	0.542	0.958	0.625
chr19,47032330,47033132	0.597	0.150	0.474	0.605
chr19,51504297,51504515	0.093	0.306	0.515	NA
chr19,36202781,36203100	0.880	0.905	NA	0.300
chr19,19966527,19967080	NA	NA	0.200	0.961
chr19,6228397,6229031	0.882	0.182	0.794	0.689
chr19,57894129,57896894	0.694	0.716	0.891	0.756
chr19,5355082,5355452	0.488	NA	0.840	NA
chr19,46733593,46735849	0.837	0.863	0.656	0.527
chr19,1567665,1569131	0.129	NA	0.338	0.448
chr19,33190668,33192382	0.967	1.000	0.833	0.818
chr19,57215742,57217768	0.060	0.865	0.690	0.405
chr19,22744390,22747800	0.909	0.556	1.000	0.889
chr19,52051120,52052950	0.782	0.436	0.375	0.429
chr19,53936421,53936718	0.500	0.750	0.591	1.000
chr19,38827899,38827983	0.091	NA	0.444	0.735
chr19,34991037,34993316	0.281	0.459	0.121	0.086
chr19,58221147,58221386	0.442	0.625	0.896	NA
chr19,36170242,36170905	0.979	0.942	0.688	NA
chr19,11916217,11917138	0.783	1.000	0.846	1.000
chr19,33919495,33920170	0.789	1.000	0.500	0.846
chr19,36617179,36617501	NA	0.500	0.952	NA
chr19,51175224,51175696	0.990	0.828	0.692	0.667
chr19,18722737,18723157	0.544	NA	0.000	NA
chr19,27775515,27775961	0.182	NA	0.714	0.917
chr19,50251024,50252313	0.882	0.719	0.927	1.000
chr19,5412278,5413294	0.866	0.636	0.861	0.397
chr19,40560739,40561186	1.000	0.875	0.929	0.400
chr19,33923611,33924641	0.891	0.946	0.882	0.320
chr19,16744780,16745818	0.946	0.968	0.926	0.514
chr19,7592773,7593047	0.880	NA	0.231	0.500
chr19,34017935,34019279	0.859	0.844	0.951	0.310
chr19,43038037,43039434	0.917	1.000	0.526	0.952
chr19,23639333,23639923	0.676	0.684	1.000	1.000
chr19,5121477,5121520	0.941	NA	1.000	0.750
chr19,55744165,55746455	0.923	0.830	0.965	0.638
chr19,21633030,21633580	1.000	0.667	0.867	1.000
chr19,525039,526690	0.473	0.765	0.610	NA
chr19,14085321,14086455	0.852	0.913	0.976	0.784
chr19,17505663,17506199	0.056	0.525	0.138	0.526
chr19,15908264,15909634	0.897	0.484	0.765	0.500
chr19,57220199,57222334	0.767	0.407	0.941	0.532
chr19,2838072,2839427	0.897	0.992	0.987	1.000
chr19,39850039,39852082	0.922	0.963	0.898	0.673
chr19,11404761,11405315	0.171	0.174	0.364	0.000
chr19,6625584,6627573	0.750	0.882	0.707	0.069
chr19,48077317,48077647	0.909	0.299	1.000	NA
chr19,50888114,50888251	0.366	0.000	0.043	NA
chr19,54413823,54414851	0.591	0.710	0.916	0.683
chr19,18442324,18444285	0.953	0.962	0.886	0.750
chr19,35527715,35528283	0.964	0.957	0.567	0.966
chr19,41892253,41893255	0.667	1.000	NA	1.000
chr19,2962938,2963571	0.900	0.875	0.857	1.000
chr19,41928998,41929473	1.000	1.000	0.938	0.429
chr19,45302349,45302455	0.091	NA	0.909	NA
chr19,19431671,19432611	0.333	0.083	0.179	0.843
chr19,56455584,56456276	0.929	0.583	0.750	0.354
chr19,14966906,14971209	0.803	0.706	0.936	0.771
chr19,8586828,8587862	0.824	0.974	1.000	NA
chr19,49722585,49723875	0.882	1.000	0.942	0.762
chr19,3034656,3034757	NA	0.667	1.000	NA
chr19,7918583,7918995	0.667	0.400	0.762	0.743
chr19,53133598,53135216	0.830	1.000	0.945	0.941
chr19,51339933,51341193	0.690	0.587	0.910	0.842
chr19,33653126,33653413	0.733	0.476	1.000	1.000
chr19,54577260,54577790	0.778	1.000	0.745	1.000
chr19,46940498,46940740	1.000	0.929	0.500	NA
chr19,47662080,47662733	0.800	0.857	1.000	0.333
chr19,49533179,49533449	0.482	0.795	0.592	0.714
chr19,20743515,20744511	0.946	0.588	0.600	0.759
chr19,3551671,3552894	0.940	0.893	0.854	0.620
chr19,42267697,42268147	0.990	0.833	1.000	0.755
chr19,1962586,1962872	0.690	1.000	NA	0.895
chr19,53367049,53367190	1.000	0.300	0.944	0.765
chr19,47766612,47767309	0.896	0.980	1.000	1.000
chr19,19775130,19776641	0.791	0.408	0.889	0.725
chr19,10011009,10012215	0.509	0.484	0.798	0.174
chr19,20981928,20984507	1.000	1.000	0.650	1.000
chr19,2663413,2663953	0.974	1.000	0.682	1.000
chr19,56489625,56490888	0.714	0.746	0.886	0.933
chr19,7891228,7891345	0.462	NA	NA	1.000
chr19,18433669,18433873	0.264	0.033	0.000	0.000
chr19,6327219,6328357	0.928	1.000	0.397	NA
chr19,34046051,34047472	0.828	0.818	0.778	0.347
chr19,18528150,18528741	0.020	0.000	0.445	0.000
chr19,54262886,54263204	0.182	0.643	1.000	1.000
chr19,41159206,41163305	0.864	0.869	0.950	0.984
chr19,46153811,46154839	0.667	0.273	0.605	0.483
chr19,56277808,56278263	0.353	0.042	NA	0.750
chr19,57375305,57375434	0.765	1.000	0.750	0.304
chr19,41622186,41626219	0.906	0.744	0.838	0.747
chr19,326815,327305	0.956	0.773	0.902	0.500
